date,new_infected
2020-02-09,86.54173486088379
2020-02-10,32.80434576856557
2020-02-11,22.07725647577799
2020-02-12,29.26760486205039
2020-02-13,39.58451162448677
2020-02-14,50.512576674178156
2020-02-15,63.53007270743732
2020-02-16,80.22416826108582
2020-02-17,101.82187968712198
2020-02-18,129.61989861975925
2020-02-19,165.2958095482748
2020-02-20,211.04235099336563
2020-02-21,269.6698556314117
2020-02-22,344.7554436691469
2020-02-23,440.85441205102137
2020-02-24,563.7752193334363
2020-02-25,720.9276435327288
2020-02-26,921.7635268528971
2020-02-27,1178.3366189453827
2020-02-28,1506.0144489018512
2020-02-29,1924.3829756916678
2020-03-01,2458.394842596119
2020-03-02,3139.824644555678
2020-03-03,4009.1098701567726
2020-03-04,5117.674249407442
2020-03-05,6530.851087647961
2020-03-06,8331.547295078022
2020-03-07,10624.812867320703
2020-03-08,13543.502698688699
2020-03-09,17255.232568884727
2020-03-10,21970.82987862683
2020-03-11,27954.447359550995
2020-03-12,35535.42121292366
2020-03-13,45121.77887409534
2020-03-14,57214.985742237535
2020-03-15,72424.9976044904
2020-03-16,91483.87416776936
2020-03-17,115255.02409157708
2020-03-18,109744.29504524586
2020-03-19,98536.80724016481
2020-03-20,88570.75325236667
2020-03-21,80511.54972839227
2020-03-22,74166.48980416864
2020-03-23,68282.3277089596
2020-03-24,62645.556574715025
2020-03-25,58130.91398359641
2020-03-26,53999.08864159322
2020-03-27,50087.452959038856
2020-03-28,46362.72451504264
2020-03-29,42836.91526576956
2020-03-30,39232.930064265776
2020-03-31,35674.68482924087
2020-04-01,32678.186936346377
2020-04-02,29967.792629978845
2020-04-03,27491.32017200972
2020-04-04,25206.184906636438
2020-04-05,23115.185441620713
2020-04-06,21062.580006442397
2020-04-07,19060.461485959688
2020-04-08,17409.46660572708
2020-04-09,15948.925079696251
2020-04-10,14621.676975481649
2020-04-11,13309.216549256955
2020-04-12,12041.967754915271
2020-04-13,10938.232473480633
2020-04-14,9890.660102990083
2020-04-15,9014.904540770909
2020-04-16,8280.114938511935
2020-04-17,7609.498095757694
2020-04-18,6988.269899270553
2020-04-19,6413.054457719355
2020-04-20,5834.8437677103675
2020-04-21,5266.485749657881
2020-04-22,4811.248976677572
2020-04-23,4412.66151525478
2020-04-24,4051.4254872785
2020-04-25,3714.9292756588356
2020-04-26,3406.9286810881104
2020-04-27,3098.123920186153
2020-04-28,2797.7136195247535
2020-04-29,2559.251346319789
2020-04-30,2350.663188026454
2020-05-01,2161.298244269688
2020-05-02,1986.811624661361
2020-05-03,1802.7819525715843
2020-05-04,1644.4432271337998
2020-05-05,1496.5931319534784
2020-05-06,1379.0709540352816
2020-05-07,1274.5313671424026
2020-05-08,1176.9180826483137
2020-05-09,1085.3855664106359
2020-05-10,1000.1217368480802
2020-05-11,913.9545595067033
2020-05-12,827.9149925650429
2020-05-13,762.6942303962754
2020-05-14,705.0295437040775
2020-05-15,652.0781484209408
2020-05-16,601.8253430376078
2020-05-17,555.2548183458201
2020-05-18,509.4785930721531
2020-05-19,465.0590420879763
2020-05-20,429.7606194630924
2020-05-21,398.4359424747873
2020-05-22,369.46635714180445
2020-05-23,342.30746884164324
2020-05-24,317.15041114453703
2020-05-25,292.2255105735008
2020-05-26,267.62244000118847
2020-05-27,247.56627534105561
2020-05-28,229.69000183102463
2020-05-29,213.22177514326137
2020-05-30,197.8873162362886
2020-05-31,183.72942866287946
